epoch,loss,reward,rnd_loss,steps
1.0,3387.0945,-144.35363631665285,0.0033158103469759226,73.0
2.0,1218.6854,-559.339132229175,0.0015217240434139967,88.6
3.0,18155.605,-349.2476288202919,0.0030554786790162325,76.2
4.0,6747.901,-344.78364219546427,0.0010251611238345504,80.2
5.0,5463.7144,-373.89915823871496,0.0008506852900609374,86.2
6.0,4897.7046,-264.5455198528365,0.0008276776061393321,92.6
7.0,3396.3667,-105.84752720372714,0.0006021572626195848,76.6
8.0,2104.0327,-138.36263862558607,0.0008796397014521062,110.4
9.0,1629.0862,-128.12614890682445,0.0010298382258042693,112.4
10.0,1513.6791,-289.02888775154173,0.0006524668424390256,195.2
11.0,1335.2653,-119.9744038728345,0.0007728053606115282,151.8
12.0,1095.5396,-167.10342296695487,0.0004456542374100536,225.2
13.0,1199.8198,-64.67148907556582,0.0005684169591404498,247.6
14.0,401.6973,-58.55752303644086,0.00016293766384478658,340.4
15.0,385.39713,-84.2245923189148,0.0001563145633554086,597.6
16.0,324.5035,-141.91744990789385,0.00011398629430914298,852.2
17.0,124.06707,-185.42936279004607,5.0127706344937906e-05,861.0
18.0,146.60687,-101.87740243109624,7.110492879291996e-05,999.0
19.0,85.18561,-48.392487812926,2.4967637727968395e-05,999.0
20.0,69.62176,-57.06828520848198,1.8481012375559658e-05,999.0
21.0,76.165085,-76.52105231125934,1.5785428331582807e-05,999.0
22.0,45.331882,-108.1205451821111,8.964630069385748e-06,999.0
23.0,45.33791,-37.97212518605278,1.349463127553463e-05,999.0
24.0,53.514786,-60.83936156438796,9.09815207705833e-06,999.0
25.0,40.9471,-73.00047843201965,8.909762982511893e-06,999.0
26.0,43.97415,-67.51220477333894,8.185043043340556e-06,999.0
27.0,60.767097,-84.4438716796437,1.6800464436528273e-05,999.0
28.0,41.26811,-46.15354563851815,4.872134741162881e-05,999.0
29.0,31.799072,-54.05866806237335,1.103542308555916e-05,999.0
30.0,34.84806,-109.06840465240046,1.3115376532368828e-05,999.0
31.0,104.236885,-65.23717576601413,8.763212827034295e-05,999.0
32.0,39.757427,-64.88087665124542,2.7140373276779428e-05,949.8
33.0,169.65091,-54.6018623786528,3.3592525142012164e-05,999.0
34.0,40.19571,-69.66754229773404,2.2064641598262824e-05,999.0
35.0,49.539825,-57.29559251886967,1.9971503206761554e-05,999.0
36.0,51.724777,-30.302898871846377,1.7153037333628163e-05,999.0
37.0,36.92989,-24.515190976119005,1.1998356058029458e-05,999.0
38.0,32.39768,-49.512349585760525,1.0565675438556354e-05,999.0
39.0,31.41358,-44.2071096417739,1.1282727427897044e-05,999.0
40.0,19.744091,-35.143445109578025,7.170594926719787e-06,999.0
41.0,28.451916,-15.26524499390479,2.1605927031487226e-05,999.0
