epoch,loss,reward,rnd_loss,steps
1.0,3867.3518,-100.40374307257323,nan,63.6
2.0,1134.5148,-861.6018467012476,nan,81.2
3.0,38077.91,-346.8155294230029,nan,74.8
4.0,15258.477,-706.366381086968,nan,107.0
5.0,11902.688,-551.4526384959865,nan,100.8
6.0,10217.684,-492.1736839770177,nan,132.4
7.0,9996.439,-751.5229952151788,nan,138.8
8.0,8249.919,-158.6345294995279,nan,97.4
9.0,7250.0566,-398.6769550005255,nan,103.0
10.0,3793.7927,-221.0877791547522,nan,100.8
11.0,2606.5178,-296.035414163825,nan,111.0
12.0,2524.2139,-201.41102518574357,nan,115.8
13.0,1448.8495,-100.17507222230442,nan,97.0
14.0,1750.4457,-102.55091355180419,nan,101.2
15.0,703.3295,-149.83183440036754,nan,138.8
16.0,609.87646,-86.24967708744084,nan,157.6
17.0,704.8161,-41.675962085537755,nan,242.4
18.0,369.9349,-79.01381197639414,nan,444.8
19.0,360.00912,-103.344918419359,nan,934.8
20.0,204.15823,-141.50644184779478,nan,879.0
21.0,101.893745,-100.04836257361937,nan,999.0
22.0,65.42258,-80.04215529399448,nan,999.0
23.0,73.65743,-68.40102058035795,nan,999.0
24.0,66.56446,-81.35114784144783,nan,999.0
25.0,57.90625,-60.99599971465464,nan,999.0
26.0,65.34839,-88.93484986577994,nan,999.0
27.0,54.006935,-115.64637868097172,nan,999.0
28.0,85.398926,-78.22134519147603,nan,999.0
29.0,82.79862,-75.64545430922601,nan,999.0
30.0,49.74748,-88.92296171284454,nan,999.0
31.0,71.046295,-17.75028888579458,nan,999.0
32.0,53.069473,-37.214684855622636,nan,999.0
33.0,62.022972,-7.834333671962173,nan,999.0
34.0,44.162567,6.400220179908324,nan,999.0
35.0,43.731106,-53.08060499965133,nan,979.2
36.0,46.986492,-31.783456481281142,nan,999.0
37.0,38.24311,-38.55253696347406,nan,999.0
38.0,34.87894,-60.32976387250644,nan,999.0
39.0,30.863104,-40.3177022914668,nan,999.0
40.0,19.335762,-67.14854599578648,nan,999.0
41.0,81.03675,-24.863933738918888,nan,999.0
42.0,133.281,-40.75416029390354,nan,999.0
43.0,67.88614,-36.92405411825192,nan,999.0
44.0,51.747116,-45.539565412599224,nan,981.8
45.0,28.87333,-39.420429414067044,nan,999.0
46.0,53.12129,-38.171627299432686,nan,999.0
47.0,29.947472,-33.043608649446085,nan,999.0
48.0,115.65665,-65.98127570535027,nan,992.6
49.0,78.74578,18.9407058886787,nan,999.0
50.0,47.4868,-49.9001270035307,nan,998.4
51.0,53.854088,20.080724998936468,nan,999.0
52.0,78.514885,-8.007393500631402,nan,941.2
53.0,45.62754,-25.372771003978976,nan,999.0
54.0,32.804726,-13.53065153087303,nan,999.0
55.0,20.381128,-87.38110654465989,nan,973.6
56.0,33.71329,-85.87893104791274,nan,999.0
57.0,38.11117,-50.649250690852035,nan,999.0
58.0,18.931675,-63.388702192685365,nan,966.2
59.0,12.076993,-60.74746540539577,nan,999.0
60.0,16.513027,-99.82016743533791,nan,781.8
61.0,81.33325,-77.80683904993933,nan,999.0
62.0,43.850117,-50.77073999732626,nan,999.0
63.0,45.181797,-64.35667141211972,nan,999.0
64.0,16.812973,-51.34410760599909,nan,999.0
65.0,39.536972,-58.77179925070736,nan,848.2
66.0,49.992092,-12.860391030862965,nan,999.0
67.0,122.196396,-25.368898832893098,nan,999.0
68.0,118.85294,-8.168528494829989,nan,999.0
69.0,24.1938,-56.94620704026484,nan,939.0
70.0,134.65895,22.363071175865723,nan,999.0
71.0,55.263493,28.015022564804173,nan,999.0
72.0,33.58367,50.3465034318607,nan,999.0
73.0,119.40583,25.335626995663127,nan,999.0
74.0,252.70174,12.447908147573427,nan,946.8
75.0,134.87193,48.37084520125958,nan,999.0
76.0,79.49615,11.344068491599915,nan,999.0
77.0,62.737793,-7.781964022042061,nan,965.0
78.0,86.56118,-64.8843582756773,nan,989.6
79.0,114.68381,-22.548216208006366,nan,999.0
80.0,35.708607,-35.95128005047664,nan,999.0
81.0,25.289831,-59.81524484306899,nan,999.0
82.0,23.127304,-57.77059827228252,nan,971.0
83.0,61.55715,-73.84043957700939,nan,999.0
84.0,45.550205,-81.92399915977849,nan,999.0
85.0,16.567698,-73.74520452708705,nan,999.0
86.0,19.431225,-78.6380750091436,nan,999.0
87.0,34.573265,-84.38830964616723,nan,999.0
88.0,62.09314,-73.72918280956523,nan,983.2
89.0,30.706085,-83.78467161395187,nan,999.0
90.0,25.176786,-131.98172434432064,nan,896.6
91.0,35.074707,-92.56795712407249,nan,999.0
92.0,77.12211,-166.30091980668615,nan,863.8
93.0,62.95522,-143.4806198715659,nan,990.8
94.0,44.665855,-122.75369417970657,nan,875.2
95.0,111.92287,-120.55688642047133,nan,827.2
96.0,145.68987,-75.05863891387541,nan,999.0
97.0,40.727776,-74.48223187272521,nan,999.0
98.0,98.801445,-61.605385737055556,nan,999.0
99.0,44.479248,-63.06636353440175,nan,866.6
100.0,25.694193,-82.9384819604152,nan,840.8
101.0,64.71515,-54.54696584133826,nan,843.0
102.0,38.164017,-96.25754015592435,nan,999.0
103.0,33.674442,-121.06573974432203,nan,951.0
104.0,156.91847,-61.85725170094688,nan,999.0
105.0,103.57863,-60.26630379658161,nan,949.6
106.0,44.713295,-39.14481991340997,nan,999.0
107.0,107.42124,-91.43867508951018,nan,938.4
108.0,79.32861,-38.774907951974996,nan,999.0
