epoch,loss,reward,rnd_loss,steps
1.0,2924.944,-126.38578324031884,0.003985161427408457,69.0
2.0,1517.1486,-109.75957642599778,0.0017421776428818703,79.6
3.0,2196.9626,-118.4194862107923,0.0009176845196634531,70.0
4.0,5713.3804,-142.27404705309544,0.0008293680148199201,72.6
5.0,3604.1553,-259.3035118454435,0.0005337800248526037,92.6
6.0,2487.7515,-137.2186315803311,0.00043139621266163886,74.2
7.0,1610.6284,-172.9982483457967,0.0004001574998255819,81.8
8.0,4066.0547,-242.0423309252135,0.0010291471844539046,90.6
9.0,2483.0195,-176.31964058848953,0.0005975093808956444,86.4
10.0,1230.0747,-136.84396237988773,0.000392229703720659,78.0
11.0,1893.1759,-172.41962083307834,0.0004355642304290086,100.0
12.0,1751.652,-191.23361629608016,0.00043188888230361044,106.6
13.0,1797.2013,-126.54953567836772,0.0005105272284708917,110.4
14.0,1275.768,-139.8517824767846,0.0004709959030151367,115.4
15.0,1312.5217,-188.5638781528241,0.0003216379845980555,178.0
16.0,874.6999,-64.69422917831977,0.0003508254012558609,192.6
17.0,724.7981,-98.68478304111818,0.00023182597942650318,194.4
18.0,399.0125,-106.32594379793025,0.00014157622354105115,356.8
19.0,323.647,-85.8215009424733,0.00015640624042134732,493.0
20.0,292.19586,-26.893577700291054,0.00012217303446959704,495.0
21.0,240.88628,-57.635661498606076,4.2142932215938345e-05,593.6
22.0,265.30792,-71.39911962206274,3.516785000101663e-05,999.0
23.0,136.30357,-48.06196727728818,3.438297790125944e-05,999.0
24.0,85.05846,-25.27328943863959,2.2722491848981008e-05,971.8
25.0,82.61125,-52.03870092360629,1.8694590835366398e-05,999.0
26.0,61.474083,-28.952605487403975,1.645396332605742e-05,999.0
27.0,89.386826,-19.244167738621226,4.0191200241679326e-05,929.0
28.0,131.58727,-13.187386662645565,4.2185700294794515e-05,619.2
29.0,118.32848,12.136484583187368,3.762605774682015e-05,999.0
30.0,73.47931,24.366062278200467,1.936703483806923e-05,489.2
31.0,48.843708,32.08854197687996,1.9518754925229587e-05,999.0
32.0,81.242256,-10.524779765594369,4.1059833165491e-05,893.8
33.0,132.09508,3.9236368440851,4.9888523790286854e-05,664.8
34.0,79.57296,3.4228693067899982,3.5964545531896874e-05,999.0
35.0,139.92746,42.911330106792626,2.9064798582112417e-05,999.0
36.0,57.30416,32.725654814021176,2.221752583864145e-05,999.0
37.0,69.68094,0.8134743254410864,2.8496666345745325e-05,823.6
38.0,65.999565,45.175252020608816,2.1966741769574583e-05,999.0
39.0,118.57597,2.772895670916692,4.623484710464254e-05,999.0
40.0,38.5434,12.311538576437746,2.212515209976118e-05,999.0
41.0,88.90411,69.78636373586157,5.451582546811551e-05,999.0
42.0,166.31284,56.177042690141924,3.093162376899272e-05,999.0
43.0,85.427155,56.250023000029486,4.0241324313683435e-05,999.0
44.0,38.402763,-60.04943780720089,4.390509275253862e-05,897.8
45.0,50.606094,-15.49677135215083,2.1133744667167775e-05,999.0
46.0,32.55086,28.723391047207485,1.733719363983255e-05,999.0
47.0,188.33177,-6.0906483602664325,4.043189255753532e-05,862.2
48.0,190.9769,-6.705969628838327,6.627522816415876e-05,999.0
49.0,76.05475,-71.74165247274696,3.902004027622752e-05,928.0
50.0,119.23372,-43.42680016645179,4.59927468909882e-05,919.6
51.0,78.27026,-13.657118268348778,3.773794014705345e-05,999.0
52.0,53.485897,-39.71916378629338,2.2087495381128974e-05,942.4
53.0,85.69103,-121.94942135851993,1.9988028725492768e-05,863.2
54.0,59.57758,-112.63681101117461,1.7219897927134298e-05,589.8
55.0,82.097534,-76.26988531178193,1.7592465155757964e-05,969.2
56.0,71.593475,-120.80460252191997,2.0353645595605485e-05,924.4
57.0,76.886856,-77.76793890882709,2.1533718609134667e-05,889.8
58.0,93.143715,12.22517215240924,1.077807155525079e-05,931.6
59.0,89.07037,-62.793797176066754,2.8938256946275942e-05,999.0
60.0,77.52721,-21.71344835531948,1.5359451936092228e-05,977.2
61.0,69.95079,-70.8251294341455,2.0948558812960982e-05,968.6
62.0,55.019447,-16.412137014985767,1.2352315934549551e-05,890.2
63.0,143.64325,-24.645694095049176,2.8163260139990598e-05,999.0
64.0,98.30305,-27.26910232893104,3.493089025141671e-05,999.0
65.0,22.15539,-98.30468805979345,2.7694411983247846e-05,749.6
66.0,57.445118,-53.74970896080909,1.9591285308706574e-05,999.0
67.0,29.492706,-60.15448992211465,2.140949436579831e-05,768.6
68.0,46.327873,-34.18921175726691,2.3622202206752263e-05,999.0
69.0,55.623352,-25.510512428676936,2.3688886358286254e-05,779.2
70.0,62.33879,19.376351645810608,4.222528878017329e-05,875.6
71.0,93.63554,-10.283933979506937,4.013947182102129e-05,942.6
72.0,96.38826,-30.975023680121648,2.9853170417482033e-05,826.6
73.0,39.552803,35.96004982540567,1.4087750059843529e-05,834.4
74.0,196.77536,65.32474124013076,7.480556814698502e-05,999.0
75.0,243.3785,89.5201679464432,4.475727109820582e-05,922.6
76.0,67.71701,8.18542390749134,2.4803261112538166e-05,949.0
77.0,57.34833,25.13759383426102,1.251623598363949e-05,996.0
78.0,48.937717,-1.6822726744472427,2.2187827198649757e-05,999.0
79.0,52.567192,27.514921306317063,1.1974280823778827e-05,958.0
80.0,65.62835,16.535270742634747,2.9076612918288447e-05,840.0
81.0,40.450794,-18.70888118841287,1.0091324838867877e-05,999.0
82.0,34.39952,-53.04143834939415,1.346672434010543e-05,832.4
83.0,53.765797,-46.451556582467255,1.3111772204865701e-05,999.0
84.0,23.9711,41.31207028645146,1.1677364454953931e-05,999.0
85.0,21.112667,-50.723131161862774,2.6467405405128375e-05,543.4
86.0,14.049891,-53.17021781750757,1.2713549949694425e-05,685.2
87.0,44.70085,4.789977738972681,1.1608410204644315e-05,844.4
88.0,66.57757,-25.298848927668033,1.935572254296858e-05,999.0
89.0,33.19644,-20.567249912829283,2.461827898514457e-05,903.6
90.0,98.46219,-55.35162724243834,1.3149275218893308e-05,999.0
91.0,46.578968,-11.989839673128799,1.7477972505730577e-05,885.4
92.0,27.42315,25.44645456997289,2.79271826002514e-05,830.2
93.0,49.719032,-1.2090939361385196,9.80770983005641e-06,826.6
94.0,26.255766,-2.696803580034998,1.1434803127485793e-05,685.0
95.0,33.84968,-28.58804457582277,9.594376933819149e-06,425.6
96.0,42.992622,22.388897277874587,1.2010789760097396e-05,999.0
97.0,74.43051,11.882086949282812,1.2833869732276071e-05,846.2
98.0,65.9589,-31.906116538303582,2.752734872046858e-05,820.6
99.0,55.309788,-23.726621135582732,2.9822762371622957e-05,828.4
100.0,39.759377,-22.771720139105675,1.1740468835341744e-05,999.0
101.0,21.13428,-35.79091365958604,7.387995083263377e-06,999.0
102.0,60.270847,-35.87258321459775,1.439018433302408e-05,999.0
103.0,282.86343,-40.69525076658106,6.326628499664366e-05,706.4
104.0,47.236584,-20.805187753887793,2.9163733415771276e-05,999.0
105.0,22.402996,-17.996026714001722,5.9129051805939525e-06,999.0
106.0,56.343594,3.275779334340393,2.5699791876832023e-05,999.0
107.0,47.519215,-3.6060755829211772,1.4389064745046198e-05,999.0
108.0,31.190977,0.10318153387988645,1.508165860286681e-05,999.0
109.0,52.36062,-36.625463244750925,8.650452400615904e-06,999.0
110.0,24.205915,1.570661604483881,4.468541192181874e-06,999.0
111.0,20.861158,-0.8231577094786772,6.562338512594579e-06,999.0
112.0,122.03327,-5.964108202618595,2.6420031645102426e-05,999.0
113.0,40.17592,12.44148656436353,1.433404213457834e-05,999.0
114.0,18.444607,12.455596034891638,6.267997378017753e-06,999.0
115.0,43.467125,10.6078381846717,1.138462630478898e-05,999.0
116.0,50.574417,-1.9185890066179425,8.538332622265443e-06,999.0
117.0,25.408455,27.834620854141622,1.361486556561431e-05,999.0
118.0,45.99588,41.910182780647006,1.1591697330004536e-05,999.0
119.0,59.5992,40.323198511096734,3.271340028732084e-05,999.0
120.0,37.31993,16.817930953348757,1.3058132026344538e-05,999.0
121.0,31.472893,31.359066449760057,5.951334969722666e-06,999.0
122.0,17.184727,82.54609395063963,7.112893399607856e-06,999.0
123.0,29.641966,72.78388076249237,1.0128493158845231e-05,999.0
124.0,38.114708,17.163658435601477,1.1191959856660105e-05,956.8
125.0,127.0347,42.579481753272226,1.8893189917434938e-05,818.0
126.0,36.979637,63.31824358699284,1.20411614261684e-05,822.0
127.0,79.45893,-45.279503993800404,2.2499325496028177e-05,730.2
128.0,241.32474,75.14534461584537,1.678706939856056e-05,668.0
129.0,545.917,-28.918376101358994,8.711219561519101e-05,539.0
130.0,205.55981,49.77037364418662,2.5209892555722035e-05,865.6
