epoch,loss,reward,steps
0.0,1769.8223,-104.47730250638696,94.9
1.0,561.8041,-104.13025269936125,120.1
2.0,672.93994,-107.7536612747175,50.5
3.0,1006.17145,-109.63846452912742,49.2
4.0,1286.076,-131.69933869784091,341.6
5.0,736.4881,-128.7009631536277,207.8
6.0,691.9789,-114.42040356871878,99.5
7.0,440.97318,-125.80551894960384,419.0
8.0,426.5737,-109.62440032022548,681.8
9.0,181.30202,-100.01174196204803,808.1
10.0,66.15687,-110.28936429754287,261.0
11.0,47.59922,-108.5595562252588,718.7
12.0,61.120247,-108.07898116994575,907.4
13.0,16.191175,-95.6518378358323,810.9
14.0,111.150085,-101.42075528491031,779.2
15.0,80.29458,-108.61057404228684,441.7
16.0,30.407797,-88.88026840264152,904.3
17.0,60.034958,-96.32005518108046,702.4
18.0,23.740736,-77.69593051568162,906.2
19.0,27.694622,-77.79093479510843,809.3
20.0,23.916206,-81.20211671003746,826.1
21.0,6.027185,-74.92319701993696,999.0
22.0,9.482416,-106.60052625870192,812.1
23.0,8.084771,-92.24352338014471,716.4
24.0,35.17155,-85.29568319333792,861.0
25.0,27.731327,-84.03236423004053,821.0
26.0,1.3953636,-79.99618501416678,906.9
27.0,4.235172,-92.46839377270848,726.0
28.0,4.131192,-75.40818679663823,999.0
29.0,1.5434688,-79.91409378407664,823.0
30.0,10.524644,-75.23728974627635,904.9
31.0,10.3740635,-79.68506426851519,821.6
32.0,23.53572,-61.94448490402311,999.0
33.0,24.990553,-60.03562522976888,999.0
34.0,1.6222944,-77.48064370834531,874.7
35.0,18.585695,-66.83707414810311,908.9
36.0,11.759211,-58.89927656663923,905.8
37.0,11.201959,-47.61327660794755,904.9
38.0,29.1096,-82.78542118349606,777.9
39.0,8.090402,-59.56674427128115,906.7
40.0,6.959613,-51.33224943656397,999.0
41.0,4.813386,-50.4425051745201,903.8
42.0,10.744363,-66.58463692671818,760.0
43.0,12.412489,-35.61404408057695,883.1
44.0,2.605373,-17.653366992136473,904.5
45.0,24.753157,-46.09878722552795,862.2
46.0,82.43351,-37.44470855523508,876.0
47.0,39.433346,-38.56000967924332,927.4
48.0,98.12841,-25.491302744185738,944.0
49.0,19.369001,-17.64063864407381,906.1
50.0,54.904312,-55.139150038908475,898.1
51.0,108.167366,-27.62287595831599,884.4
52.0,67.321014,-11.638154640206208,999.0
53.0,18.510815,-3.170810718257392,999.0
54.0,24.126984,-22.555725286459534,960.8
55.0,15.561218,-23.827378859132175,984.2
56.0,27.541754,-35.933166517843055,923.8
57.0,13.262659,-7.926723269576627,999.0
58.0,9.424472,4.42936802065137,999.0
59.0,12.207596,-12.054113449940829,999.0
60.0,2.8597534,-19.9850561206929,908.2
61.0,1.8422309,-3.518106334605547,999.0
62.0,8.358693,-12.21819374543369,906.2
63.0,4.6062737,12.461452055858922,999.0
64.0,15.764878,15.70088907231407,999.0
65.0,2.025103,12.52257608732089,999.0
66.0,11.569505,21.988072864995644,999.0
67.0,1.9274377,23.123335192954553,999.0
68.0,5.246109,-11.180449325530379,824.5
69.0,10.8077345,27.073447262561935,999.0
70.0,14.645565,29.89823731243707,999.0
71.0,13.661484,18.58239692806078,915.7
72.0,23.037973,16.791083053691985,904.7
73.0,1.9177202,37.76916271403571,999.0
74.0,12.367053,51.69912777917561,999.0
75.0,11.7942,22.454399706345534,818.2
76.0,2.9337308,72.5543088556159,999.0
77.0,24.089405,52.42237977787333,920.1
78.0,33.828285,65.70373276090068,951.0
79.0,12.893595,67.63915981393096,906.2
80.0,23.788584,28.624610409165275,745.5
81.0,15.322665,61.16826117483252,816.6
82.0,7.605401,94.12252329724295,947.6
83.0,22.78574,59.56614816333628,770.7
84.0,3.8575583,123.23565006345203,999.0
85.0,23.484028,103.51759371038672,914.2
86.0,4.255745,87.08961039317057,899.7
87.0,16.435898,84.52293126505576,802.3
88.0,69.36088,149.90834368308606,999.0
89.0,40.79097,106.98392651908148,932.3
90.0,19.515158,133.84771609367928,970.5
91.0,12.228156,123.14390006820733,903.7
92.0,17.380127,139.7535195278171,945.3
93.0,16.065939,133.93335305326383,917.7
94.0,28.425455,174.68656109163138,999.0
95.0,63.02222,90.88853935567612,722.4
96.0,31.240965,89.51571541101359,743.4
97.0,30.293526,166.22624612539417,999.0
98.0,21.847557,142.22836910713943,972.5
99.0,8.199348,136.8962970959892,973.7
100.0,15.282708,169.14777301764184,999.0
101.0,6.0331993,134.26929453943214,909.6
102.0,30.366524,165.07178033727365,999.0
103.0,38.276478,133.35813192303416,929.4
104.0,4.681723,160.97426480345422,999.0
105.0,10.305585,146.08660543431907,943.1
106.0,14.081861,121.37359869887902,877.8
107.0,38.12873,162.52479398596557,999.0
108.0,25.163195,182.62408019694743,999.0
109.0,14.239835,128.8558370000437,908.3
110.0,35.31668,129.51743213232172,903.8
111.0,57.60385,173.09570139787064,999.0
112.0,36.686893,25.750948962033032,621.6
113.0,207.49693,-8.576172920423188,501.5
114.0,160.06746,105.66422798500643,761.4
115.0,66.870766,118.11562995942336,868.3
116.0,80.343475,115.8949866174124,812.2
117.0,19.04511,143.97311801689355,904.1
118.0,30.392403,156.13213404313746,930.1
119.0,48.401325,140.28577642035665,921.2
120.0,10.590622,141.77007426161117,908.8
121.0,24.496363,121.45792751968834,838.1
122.0,55.642773,154.39651572916964,964.2
123.0,9.627228,129.6855418010347,907.1
124.0,19.615803,143.25741925713936,904.5
125.0,18.060036,156.4547325368469,976.8
126.0,5.6024804,108.72893296143756,850.8
127.0,25.145798,134.98998350265566,976.3
128.0,32.49194,105.87364712198435,874.7
129.0,39.484795,123.33005854271258,870.8
130.0,24.920532,114.69733884814218,907.6
131.0,28.511839,13.987421400276201,592.2
132.0,32.945732,107.1590187580679,910.7
133.0,25.574177,125.28260465514748,910.4
134.0,18.86873,71.91215997789139,723.2
135.0,54.823856,109.11631396468769,851.3
136.0,72.08766,114.22440640309776,900.7
137.0,43.15753,138.51168514922352,969.2
138.0,33.42245,97.75059652016189,814.6
139.0,22.279099,55.157912895405005,725.5
140.0,43.36751,54.13842153522786,631.4
141.0,52.99554,136.88229065435146,903.2
142.0,20.066238,139.28376410520852,904.0
143.0,47.913013,178.7568033775429,999.0
144.0,30.434683,181.6115837040864,999.0
145.0,24.209806,82.14841274144116,717.1
146.0,6.191645,187.306393964971,999.0
147.0,6.121726,150.4727054418293,908.0
148.0,9.721695,190.64052251501937,999.0
149.0,15.09065,147.92886244072275,907.7
150.0,32.207695,194.16520470535932,999.0
151.0,41.80855,126.96784974100069,816.4
152.0,49.238136,142.13361611858662,891.4
153.0,49.868336,189.42048787684735,999.0
